SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b,TREND
1504.9,1,0,1,1,0,1,1,0
1527.3,1,1,0,0,1,1,0,0
3231.7,1,0,0,1,1,1,0,0
4200.9,1,1,1,0,0,0,1,0
1706.8,0,0,1,0,0,1,1,0
1880.7,1,1,1,1,0,1,1,0
1177.0,0,0,1,1,0,1,1,1
1868.5,0,0,0,0,1,1,0,0
2508.0,0,1,1,0,0,0,1,1
2097.2,0,0,0,0,1,1,0,0
1673.0,0,0,1,0,0,0,0,0
2026.3,1,0,0,1,1,1,0,1
2807.3,0,0,0,0,0,0,0,1
3483.3,1,1,1,1,0,0,1,1
2352.5,0,0,1,1,0,0,1,1
1205.1,0,0,0,0,1,0,0,0
1983.1,0,0,1,1,0,0,1,1
4054.5,1,1,0,1,1,1,0,1
1886.4,1,1,0,1,1,1,0,0
1253.1,1,1,0,1,1,0,0,0
38074.0,1,1,1,1,0,0,0,0
3509.7,0,0,0,0,1,1,1,1
1515.4,1,1,1,1,0,0,1,1
2589.6,0,0,0,0,1,0,0,0
1508.3,1,1,1,1,0,1,1,1
2133.6,1,1,0,1,1,1,0,1
2162.4,0,1,1,0,0,1,1,1
2010.8,1,1,0,1,1,1,0,1
2286.9,0,0,1,0,0,0,1,0
1353.6,0,0,1,0,0,1,1,1
1461.1,0,0,1,0,0,0,1,1
1509.9,0,0,0,0,1,0,0,1
2348.5,0,0,0,0,0,0,0,1
2142.5,1,1,0,1,1,1,0,1
4748.5,1,1,0,0,1,0,0,1
2593.4,1,1,0,1,1,0,1,0
2080.9,0,0,0,0,1,1,1,0
23242.2,1,1,1,1,0,0,0,1
2054.2,0,0,1,1,0,0,1,1
4077.8,0,1,0,0,1,0,1,0
1455.5,0,0,0,1,1,0,0,1
1490.2,1,1,0,0,1,0,0,0
2094.0,0,0,0,0,1,0,0,0
1375.9,0,0,1,0,0,0,1,1
2905.7,0,0,0,1,1,1,0,1
3251.0,1,1,0,1,1,1,0,0
1638.9,1,1,1,1,0,0,0,0
3055.9,0,0,0,0,1,0,0,1
4339.9,0,0,0,0,1,1,1,0
2388.6,0,0,0,1,1,0,0,1
2587.7,0,0,0,0,1,0,0,0
3337.5,0,0,1,0,0,0,1,1
2720.0,1,1,1,0,0,0,1,1
2268.7,0,0,1,0,0,1,0,1
30859.0,1,1,1,1,0,1,1,0
3890.7,1,1,0,1,1,0,1,1
6647.2,1,1,0,1,1,1,0,1
2741.3,0,0,1,0,0,0,1,1
2182.5,1,1,0,1,1,0,0,1
2485.2,0,0,0,0,1,0,0,1
4095.6,0,0,1,0,0,0,1,1
2255.7,1,1,1,0,0,0,1,1
2501.3,1,1,0,1,1,0,0,1
2021.4,0,1,0,0,1,1,0,1
2499.8,0,0,1,0,0,0,1,0
1736.0,0,0,1,0,0,1,1,0
2052.7,0,0,0,0,1,1,1,1
