SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b
3799.1,0,0,1,0,0,1,0
3798.4,0,0,0,0,1,0,0
3797.9,0,0,1,0,0,1,1
3798.2,0,0,1,1,0,1,1
3801.7,0,0,0,1,1,0,0
3805.9,1,0,1,1,0,1,1
3812.4,1,0,0,1,1,0,1
3819.5,1,1,1,1,0,0,0
3828.5,1,1,1,1,0,1,1
3839.8,1,1,1,1,0,1,1
3851.5,1,1,1,1,0,0,0
3863.5,1,1,1,1,0,1,1
3875.8,1,1,0,1,1,0,0
3887.9,1,1,1,1,0,0,0
3899.6,1,1,0,1,0,0,0
3910.6,1,1,0,1,0,1,1
3919.3,1,1,1,1,0,1,1
3928.4,1,1,0,1,0,1,1
3935.7,1,1,0,1,1,0,0
3940.4,1,1,1,1,0,0,1
3942.8,1,1,0,1,1,0,0
3944.6,1,1,0,1,1,0,1
3945.9,1,1,0,1,1,0,1
3946.1,1,1,1,0,0,1,1
3944.4,1,1,0,0,1,0,0
3941.9,1,1,0,0,1,1,1
3938.9,0,1,0,0,1,0,0
3934.3,0,1,0,0,1,1,1
3927.2,0,0,1,1,0,0,1
3932.0,0,0,0,1,1,0,0
3935.9,0,0,1,1,0,0,0
3939.4,1,0,0,1,1,0,0
3943.0,1,0,0,1,0,0,0
3947.6,1,0,0,0,1,1,1
3943.1,1,0,0,0,1,0,0
3938.5,1,1,0,0,1,1,1
3881.6,0,0,1,0,0,1,1
3812.8,0,0,1,0,0,0,1
3746.4,0,0,1,0,0,0,1
3666.9,0,0,1,0,0,1,1
3592.2,0,0,0,0,1,0,0
3514.5,0,0,0,0,1,0,1
3435.8,0,0,1,0,0,1,1
3363.7,0,0,1,0,0,0,1
3302.2,0,0,1,0,0,1,1
3242.6,0,0,1,0,0,0,1
3236.9,0,0,1,0,0,1,1
3245.5,0,0,1,1,0,0,0
3267.2,0,0,1,1,0,1,1
3294.1,0,0,1,1,0,1,0
3328.2,0,0,0,1,1,0,0
3371.6,1,0,1,1,0,1,0
3416.4,1,1,1,1,0,0,0
3454.7,1,1,1,1,0,1,1
3493.2,1,1,0,1,1,0,0
3531.9,1,1,1,1,0,1,1
3570.3,1,1,0,1,1,0,0
3607.7,1,1,1,1,0,1,1
3632.5,1,1,1,1,0,0,0
3654.2,1,1,1,1,0,1,0
3668.4,1,1,0,1,1,0,0
3678.0,1,1,0,1,1,1,0
3687.4,1,1,0,1,1,0,0
3696.7,1,1,0,1,1,0,0
3704.4,1,1,0,1,1,0,0
3710.7,1,1,0,1,1,1,0
3715.6,1,1,1,1,0,1,1
3720.2,1,1,0,1,1,0,0
3724.4,1,1,0,1,0,1,1
3727.9,1,1,0,1,1,0,1
3728.4,1,1,0,1,1,1,0
3727.5,1,1,0,0,0,1,0
3726.5,1,1,1,0,0,1,0
3725.7,1,1,1,0,0,0,0
3725.5,1,1,1,1,0,0,0
3731.2,1,1,1,1,0,1,0
3740.7,1,1,1,1,0,0,0
3750.0,1,1,0,1,1,1,1
3759.6,1,1,1,1,0,0,0
3776.3,1,1,0,1,1,1,0
3793.8,1,1,0,1,1,0,0
3811.5,1,1,0,1,0,1,1
3829.2,1,1,0,1,1,1,0
3846.6,1,1,0,1,1,0,0
3863.4,1,1,0,1,1,1,0
3874.3,1,1,0,1,1,0,1
3882.0,1,1,0,1,1,0,0
3889.8,1,1,0,1,0,1,0
3897.3,1,1,0,1,1,0,0
3897.4,1,1,0,0,1,0,0
3896.5,1,1,1,0,0,0,1
3893.2,1,1,0,0,1,1,1
3889.1,1,1,1,0,0,0,1
3884.5,1,1,0,0,1,0,1
3879.8,0,1,0,0,1,1,1
3875.4,0,0,1,0,0,1,0
3874.0,0,0,0,1,1,0,0
3879.0,0,0,0,1,1,0,0
3884.3,0,0,0,1,1,0,0
3889.6,1,0,1,1,0,1,1
3898.6,1,0,0,1,1,0,0
3907.5,1,0,0,1,1,0,0
3914.5,1,1,0,1,1,1,0
3921.2,1,1,0,1,1,0,1
3928.0,1,1,0,1,1,1,0
3934.6,1,1,0,1,1,1,0
3936.9,1,1,0,1,1,1,1
3932.7,1,1,1,0,0,0,1
3928.0,1,1,0,0,1,1,1
3923.3,1,1,0,0,0,1,1
3915.1,0,1,1,0,0,0,0
3909.1,0,0,0,0,0,1,1
3905.8,0,0,1,0,0,1,0
3903.6,0,0,1,0,0,0,0
3901.6,0,0,0,0,0,0,0
3899.7,0,0,0,0,1,1,1
3899.0,0,0,1,0,0,1,1
3898.6,0,0,0,0,0,0,0
3898.4,0,0,1,0,0,1,1
3898.7,0,0,0,1,1,0,0
3899.0,0,0,0,1,1,1,1
3899.5,0,0,1,1,0,0,0
3900.1,0,0,1,1,0,1,1
3900.6,1,0,1,1,0,1,0
3901.1,1,1,0,1,0,0,0
3901.6,1,1,1,1,0,0,0
3902.5,1,1,0,1,0,1,0
3903.2,1,1,1,1,0,0,0
3904.2,1,1,1,1,0,0,1
3905.6,1,1,1,1,0,1,1
3907.2,1,1,0,1,1,1,0
3908.9,1,1,1,1,0,0,1
3911.6,1,1,1,1,0,1,0
3914.2,1,1,0,1,1,0,0
3917.6,1,1,0,1,0,1,1
3921.0,1,1,0,1,1,0,0
3924.1,1,1,0,1,0,0,0
3927.2,1,1,0,1,1,1,0
3929.9,1,1,0,1,1,1,0
3931.6,1,1,0,1,1,0,0
3932.9,1,1,0,1,1,0,1
3933.9,1,1,0,1,1,0,1
3933.6,1,1,0,0,1,0,1
3933.3,1,1,0,0,1,0,0
3917.5,0,1,0,0,1,1,1
3897.1,0,0,1,0,0,0,1
3876.5,0,0,1,0,0,1,1
3854.6,0,0,1,0,0,0,1
3832.5,0,0,1,0,0,0,1
3810.7,0,0,0,0,1,1,1
3785.4,0,0,1,0,0,1,1
3760.1,0,0,0,0,1,1,1
3726.3,0,0,1,0,0,1,1
3692.5,0,0,1,0,0,0,1
3677.0,0,0,1,0,0,0,0
3680.6,0,0,0,1,1,0,0
3699.4,0,0,0,1,1,0,0
3728.1,0,0,1,1,0,0,0
3767.6,1,0,1,1,0,0,0
3817.9,1,0,1,1,0,0,0
3877.1,1,1,0,1,1,0,0
3934.0,1,1,0,1,1,1,0
3997.0,1,1,1,1,0,0,0
4060.0,1,1,0,1,1,0,0
4119.2,1,1,1,1,0,0,0
4163.9,1,1,1,1,0,0,0
4193.6,1,1,1,1,0,0,0
4214.7,1,1,0,1,1,0,0
4214.8,1,1,0,1,1,0,0
4204.2,1,1,1,0,0,0,1
4188.4,1,1,0,0,1,0,0
4171.1,1,1,0,0,1,1,0
4153.4,1,1,1,0,0,1,1
4134.7,0,1,0,0,1,0,0
4115.5,0,0,1,0,0,1,1
4097.2,0,0,1,0,0,1,1
4080.9,0,0,0,0,1,0,0
4063.0,0,0,1,0,0,1,1
4056.7,0,0,1,0,0,1,1
4051.3,0,0,1,0,0,1,0
4046.3,0,0,1,0,0,1,1
4046.5,0,0,1,1,0,1,0
